Source Name	Characteristics[Organism]	Term Source REF	Term Accession Number	Characteristics[Organism part]	Term Source REF	Term Accession Number	Characteristics[Variant]	Term Source REF	Term Accession Number	Characteristics[Sample type]	Term Source REF	Term Accession Number	Protocol REF	Sample Name	Factor Value[Sex]	Term Source REF	Term Accession Number	Factor Value[Immune treatment]	Term Source REF	Term Accession Number	Factor Value[Collection timepoint]	Unit	Term Source REF	Term Accession Number
Glands_24h_Nm5	Tribolium castaneum	NCBITAXON	http://purl.obolibrary.org/obo/NCBITaxon_7070	stink gland secretions	MTBLS	http://www.ebi.ac.uk/metabolights/ontology/placeholder	Tribolium castaneum str. Croatia 1 (CRO1)			experimental sample	CHMO	http://purl.obolibrary.org/obo/CHMO_0002746	Sample collection	Glands_24h_Nm5	male			naive			24	hour	UO	http://purl.obolibrary.org/obo/UO_0000032
Glands_24h_Nm6	Tribolium castaneum	NCBITAXON	http://purl.obolibrary.org/obo/NCBITaxon_7070	stink gland secretions	MTBLS	http://www.ebi.ac.uk/metabolights/ontology/placeholder	Tribolium castaneum str. Croatia 1 (CRO1)			experimental sample	CHMO	http://purl.obolibrary.org/obo/CHMO_0002746	Sample collection	Glands_24h_Nm6	male			naive			24	hour	UO	http://purl.obolibrary.org/obo/UO_0000032
Glands_24h_Nm7	Tribolium castaneum	NCBITAXON	http://purl.obolibrary.org/obo/NCBITaxon_7070	stink gland secretions	MTBLS	http://www.ebi.ac.uk/metabolights/ontology/placeholder	Tribolium castaneum str. Croatia 1 (CRO1)			experimental sample	CHMO	http://purl.obolibrary.org/obo/CHMO_0002746	Sample collection	Glands_24h_Nm7	male			naive			24	hour	UO	http://purl.obolibrary.org/obo/UO_0000032
Glands_24h_Nm8	Tribolium castaneum	NCBITAXON	http://purl.obolibrary.org/obo/NCBITaxon_7070	stink gland secretions	MTBLS	http://www.ebi.ac.uk/metabolights/ontology/placeholder	Tribolium castaneum str. Croatia 1 (CRO1)			experimental sample	CHMO	http://purl.obolibrary.org/obo/CHMO_0002746	Sample collection	Glands_24h_Nm8	male			naive			24	hour	UO	http://purl.obolibrary.org/obo/UO_0000032
Glands_24h_Pf1	Tribolium castaneum	NCBITAXON	http://purl.obolibrary.org/obo/NCBITaxon_7070	stink gland secretions	MTBLS	http://www.ebi.ac.uk/metabolights/ontology/placeholder	Tribolium castaneum str. Croatia 1 (CRO1)			experimental sample	CHMO	http://purl.obolibrary.org/obo/CHMO_0002746	Sample collection	Glands_24h_Pf1	female			primed			24	hour	UO	http://purl.obolibrary.org/obo/UO_0000032
Glands_24h_Pf2	Tribolium castaneum	NCBITAXON	http://purl.obolibrary.org/obo/NCBITaxon_7070	stink gland secretions	MTBLS	http://www.ebi.ac.uk/metabolights/ontology/placeholder	Tribolium castaneum str. Croatia 1 (CRO1)			experimental sample	CHMO	http://purl.obolibrary.org/obo/CHMO_0002746	Sample collection	Glands_24h_Pf2	female			primed			24	hour	UO	http://purl.obolibrary.org/obo/UO_0000032
Glands_24h_Pf3	Tribolium castaneum	NCBITAXON	http://purl.obolibrary.org/obo/NCBITaxon_7070	stink gland secretions	MTBLS	http://www.ebi.ac.uk/metabolights/ontology/placeholder	Tribolium castaneum str. Croatia 1 (CRO1)			experimental sample	CHMO	http://purl.obolibrary.org/obo/CHMO_0002746	Sample collection	Glands_24h_Pf3	female			primed			24	hour	UO	http://purl.obolibrary.org/obo/UO_0000032
Glands_24h_Pf4	Tribolium castaneum	NCBITAXON	http://purl.obolibrary.org/obo/NCBITaxon_7070	stink gland secretions	MTBLS	http://www.ebi.ac.uk/metabolights/ontology/placeholder	Tribolium castaneum str. Croatia 1 (CRO1)			experimental sample	CHMO	http://purl.obolibrary.org/obo/CHMO_0002746	Sample collection	Glands_24h_Pf4	female			primed			24	hour	UO	http://purl.obolibrary.org/obo/UO_0000032
Glands_24h_Pf5	Tribolium castaneum	NCBITAXON	http://purl.obolibrary.org/obo/NCBITaxon_7070	stink gland secretions	MTBLS	http://www.ebi.ac.uk/metabolights/ontology/placeholder	Tribolium castaneum str. Croatia 1 (CRO1)			experimental sample	CHMO	http://purl.obolibrary.org/obo/CHMO_0002746	Sample collection	Glands_24h_Pf5	female			primed			24	hour	UO	http://purl.obolibrary.org/obo/UO_0000032
Glands_24h_Pf6	Tribolium castaneum	NCBITAXON	http://purl.obolibrary.org/obo/NCBITaxon_7070	stink gland secretions	MTBLS	http://www.ebi.ac.uk/metabolights/ontology/placeholder	Tribolium castaneum str. Croatia 1 (CRO1)			experimental sample	CHMO	http://purl.obolibrary.org/obo/CHMO_0002746	Sample collection	Glands_24h_Pf6	female			primed			24	hour	UO	http://purl.obolibrary.org/obo/UO_0000032
Glands_24h_Pf8	Tribolium castaneum	NCBITAXON	http://purl.obolibrary.org/obo/NCBITaxon_7070	stink gland secretions	MTBLS	http://www.ebi.ac.uk/metabolights/ontology/placeholder	Tribolium castaneum str. Croatia 1 (CRO1)			experimental sample	CHMO	http://purl.obolibrary.org/obo/CHMO_0002746	Sample collection	Glands_24h_Pf8	female			primed			24	hour	UO	http://purl.obolibrary.org/obo/UO_0000032
